LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Net units with commencement date,Net units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
PP/2015/4095,Ealing,21/08/2015,Completed,All Other,Rear roof extension and the installation of three rooflights to the front and one to the rear roofslopes to provide a self contained residential unit (a total of three units).,4A Bollo Lane,4a,Bollo Lane,London,W4 5LP,28/04/2016,05/09/2016,,,1,0,1,1,1,Approved,16/10/2015,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2015/4095;
P2013/4475/FUL,Islington,20/11/2013,Completed,All Other,Erection of single storey structure on roof for use as 1 x 2 bedroom flat.,,31,Pear Tree Street,London,EC1V 3AG,01/08/2014,04/07/2016,,,1,0,1,1,1,Approved,03/03/2014,,,
15/07602/FUL,London Borough of Barnet,24/12/2015,Completed,All Other,"Erection of 2 no three storey semi-detached dwellings involving basement, ground and first floor with rooms in roof space",Fursby House146B And 146C Nether StreetLondonN3 1PG,,,,,,19/08/2016,,,2,0,2,2,2,Approved,05/04/2016,,,
160859FUL,Ealing,12/02/2016,Completed,All Other,"Two storey rear extension, alteration to existing two storey rear self-contained unit and change of use of basement storage to provide separate self-contained units to both the basement and ground floor (2 x 1 bed).",53 Churchfield Road,53,Churchfield Road,London,W3 6AY,23/05/2016,01/10/2016,,,2,1,1,1,1,Approved,18/05/2016,,,https://pam.ealing.gov.uk/online-applications/PLAN/160859FUL;
15/06119/P3O,London Borough of Lambeth,30/10/2015,Completed,Prior Approval,Change of use from Class B1 (Office) to Class C3 (Residential),,1,Cranfield Close,,SE27 9JT,,20/11/2016,,,12,0,12,12,12,Approved,23/12/2015,,,
P2013/1071/FUL,Islington,05/04/2013,Completed,All Other,"Conversion, extension and alteration of the existing buildings to provide a school (Class D1) and two residential dwelling houses (Class C3).",Store A - C,,Holloway Road,London,,24/06/2015,04/01/2017,,,2,0,2,2,2,Approved,02/10/2013,,,
164841CPE,Ealing,22/09/2016,Completed,All Other,"Two storey side extension, used as a separate dwellinghouse (Certificate of Lawfulness for an Existing Development)",55A,55A,St Andrews Road,Acton,W3 7NF,25/11/2016,25/11/2016,,,1,0,1,1,1,Approved,25/11/2016,,,https://pam.ealing.gov.uk/online-applications/PLAN/164841CPE;
P121254,Islington,06/06/2012,Completed,All Other,The provision of an additional 1 bedroom flat by constructing a new mansard floor at existing main roof level.,First Floor Flat,,Ball's Pond Road,London,N1 4AU,31/01/2016,31/05/2016,,,1,0,1,1,1,Approved,01/02/2013,,,
PP/2014/5906,Ealing,19/11/2014,Completed,All Other,Construction of second floor rear extension to accommodate a two-bedroom residential unit on first and second floors,50 South Road,50,South Road,Southall,UB1 1RR,01/01/2017,01/06/2016,,,1,0,1,1,1,Approved,01/07/2016,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2014/5906;
PP/2012/2414,Ealing,18/06/2012,Completed,All Other,"Construction of a two storey, 2-bedroom dwelling house following demolition of existing garage",13 Boileau Road,Land rear of 13,Boileau Road,London,W5 3AL,15/08/2014,01/08/2016,,,1,0,1,1,1,Approved,21/08/2012,,,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2012/2414;
